study_type,condition,case_id,status,error_message,boundary_case_index,current_A,current_density_command_A_cm2,egr_band,egr_fraction_cmd,ambient_supply_p_kPa_g,ambient_supply_T_C,ambient_supply_RH,ambient_supply_wO2,ambient_supply_wN2,ambient_supply_wH2O,historical_stack_in_flow_kg_s,historical_stack_in_flow_SLPM,stack_in_flow_recomputed_kg_s,stack_in_flow_recomputed_SLPM,lambdaO2_initial,lambdaO2_target_error,separator_iter_count,separator_iter_converged,separator_T_initial_C,separator_T_final_C,separator_T_sim_C,separator_p_kPa_g,V_cell_sim,pO2_stack_kPa,p_stack_internal_kPa_abs,pH2_stack_kPa,pAn_stack_kPa_abs,lambda_m,T_stack_C,stack_out_T_sim_C,xO2_ca_in,pO2_ca_in_kPa,RH_ca_in,lambda_O2_actual,m_stack_in_kg_s,m_egr_return_kg_s,m_bench_out_kg_s,liquid_drain_separator_kg_s,condensed_separator_kg_s,separator_out_RH,m_separator_gas_kg_s,maxGasRes_kg_s,Qnet_W,Qgen_W,Qcool_W,Qamb_W,Qgas_W,gas_residual_ok,flow_fixed_ok,humidity_ok,oxygen_starvation_risk,oxygen_ok,pressure_order_ok,separator_ok,normal_operation_ok,risk_label
custom_inlet_fixed_total_flow,ambient50RH_fixed_total_flow,initial_noegr_02,ok,,2,76,0.2,low,0.2,0,25,0.5,0.230092198318883,0.760085992131562,0.00982180954955525,0.00154729,71.8,0.00148115762103297,68.731212112899,3.38039965979346,-0.247377138549747,2,1,62.3,65.4453816137261,65.4453816137261,44.6,0.764343730369173,18.5947675496845,150.58286869804,145.48790890948,164.751727914266,9.08095113081999,63.3226908068631,65.4453816137261,0.188982626454301,29.5238108178232,0.304111611362698,3.13302252124371,0.00148115762103297,0.000295312881934119,0.00118125152773648,0,0,0.785586756954618,0.000295312881934119,8.67361737988404e-19,76.2492866430212,595.422023871086,167.563293015988,344.903912264621,6.70553194745615,1,1,1,0,1,1,1,1,ok
custom_inlet_fixed_total_flow,ambient50RH_fixed_total_flow,initial_noegr_02,ok,,2,76,0.2,low,0.25,0,25,0.5,0.230092198318883,0.760085992131562,0.00982180954955525,0.00154729,71.8,0.00148115762103297,68.731212112899,3.38039965979346,-0.328684833184031,2,1,62.3,65.44753570336,65.44753570336,44.6,0.763133254558017,17.8521168558499,150.578093986222,144.696979864919,164.820673868583,10.33600207678,63.32376785168,65.44753570336,0.183426886712467,28.6558653766551,0.362070885767277,3.05171482660943,0.00148115762103297,0.000368762700326522,0.00110628810097957,0,0,0.818991477047318,0.000368762700326522,3.03576608295941e-18,76.2401334619488,596.893962457452,169.034664223021,344.913605704586,6.70555906789541,1,1,1,0,1,1,1,1,ok
custom_inlet_fixed_total_flow,ambient50RH_fixed_total_flow,initial_noegr_02,ok,,2,76,0.2,low,0.3,0,25,0.5,0.230092198318883,0.760085992131562,0.00982180954955525,0.00154729,71.8,0.00148115762103297,68.731212112899,3.38039965979346,-0.420962548570672,2,1,62.3,65.4514325847877,65.4514325847877,44.6,0.760943195265086,17.0131948439708,150.572829205673,143.835535722818,164.896696179976,11.9124182017303,63.3257162923939,65.4514325847877,0.177183698791335,27.6805233436763,0.425668390644465,2.95943711122279,0.00148115762103297,0.000442014551750139,0.00103136728741699,0,0,0.855720500085008,0.000442014551750139,5.42101086242752e-19,76.2214797518171,599.557074557655,171.696467046662,344.931141745626,6.70798601355061,1,1,1,0,1,1,1,1,ok
custom_inlet_fixed_total_flow,ambient50RH_fixed_total_flow,initial_noegr_02,ok,,2,76,0.2,low,0.35,0,25,0.5,0.230092198318883,0.760085992131562,0.00982180954955525,0.00154729,71.8,0.00148115762103297,68.731212112899,3.38039965979346,-0.524261304826261,2,1,62.3,65.458615230803,65.4586691409597,44.6,0.756945450476101,16.1152841057115,150.550881888245,143.235301852967,164.95026808509,13.1470022566088,63.3293345704799,65.4586691409597,0.170322454709961,26.6086254870637,0.487960383564456,2.8561383549672,0.00148115762103297,0.00051436558271898,0.000955250367906677,0,0,0.88118374452761,0.00051436558271898,9.35124373768748e-19,76.1099171439064,604.418332221061,176.639513944779,344.96370669465,6.70519443772535,1,1,1,0,1,1,1,1,ok
custom_inlet_fixed_total_flow,ambient50RH_fixed_total_flow,initial_noegr_02,ok,,2,76,0.2,low,0.4,0,25,0.5,0.230092198318883,0.760085992131562,0.00982180954955525,0.00154729,71.8,0.00148115762103297,68.731212112899,3.38039965979346,-0.638268097113878,2,1,62.3,65.4693300243054,65.4694109123019,44.6,0.750698269490702,15.181442284242,150.50118906714,143.190921358542,164.95424715276,13.2330099083108,63.3347054561509,65.4694109123019,0.162952907439588,25.4573179647497,0.538740569270092,2.74213156267958,0.00148115762103297,0.000585002423928254,0.000877503635892382,0,0,0.882141554956498,0.000585002423928254,2.60208521396521e-18,76.3358127966313,612.014904299306,183.976617134438,345.012043762107,6.69043060612985,1,1,1,0,1,1,1,1,ok
custom_inlet_fixed_total_flow,ambient50RH_fixed_total_flow,initial_noegr_02,ok,,2,76,0.2,low,0.45,0,25,0.5,0.230092198318883,0.760085992131562,0.00982180954955525,0.00154729,71.8,0.00148115762103297,68.731212112899,3.38039965979346,-0.770141748106985,2,1,62.3,65.482854719633,65.482975708254,44.6,0.742801249114138,14.0817176396324,150.451836200263,143.145535752387,164.958319120437,13.3189202157198,63.341487854127,65.482975708254,0.154554002537316,24.1451990463922,0.588989954935167,2.61025791168648,0.00148115762103297,0.000654949582656763,0.000800493934358266,0,0,0.883036235861111,0.000654949582656763,1.0842021724855e-18,76.6224994223771,621.617681077208,193.241969671874,345.073084197145,6.68012778581174,1,1,1,0,1,1,1,1,ok
custom_inlet_fixed_total_flow,ambient50RH_fixed_total_flow,initial_noegr_02,ok,,2,76,0.2,low,0.5,0,25,0.5,0.230092198318883,0.760085992131562,0.00982180954955525,0.00154729,71.8,0.00148115762103297,68.731212112899,3.38039965979346,-0.925279154401545,2,1,62.3,65.5006230226264,65.5008409336001,44.6,0.732391236746279,12.7669702844992,150.40260361105,143.129529626912,164.959756067266,13.3363176925148,63.3504204668001,65.5008409336001,0.144814983648972,22.6237208205607,0.638755892128498,2.45512050539192,0.00148115762103297,0.000724215110703042,0.000724215110703042,0,0,0.883848893727784,0.000724215110703042,4.40457132572236e-19,77.0016837024422,634.276256116525,205.44470374311,345.153476194466,6.67639247650755,1,1,1,0,1,1,1,1,ok
custom_inlet_fixed_total_flow,ambient50RH_fixed_total_flow,initial_noegr_02,ok,,2,76,0.2,low,0.55,0,25,0.5,0.230092198318883,0.760085992131562,0.00982180954955525,0.00154729,71.8,0.00148115762103297,68.731212112899,3.38039965979346,-1.11147352330063,2,1,62.3,65.5249344629447,65.5252623716928,44.6,0.718143541814539,11.166641447488,150.353689135033,143.117235554452,164.960860097834,13.3390358083111,63.3626311858464,65.5252623716928,0.133289418105763,20.8231393435728,0.688095051505011,2.26892613649283,0.00148115762103297,0.000792806596178548,0.000648659942327903,0,0,0.884525832561375,0.000792806596178548,4.11996825544492e-18,77.5297365800262,651.60145315352,222.12561336114,345.263370553672,6.68273265868284,1,1,1,0,1,1,1,1,ok
custom_inlet_fixed_total_flow,ambient50RH_fixed_total_flow,initial_noegr_02,ok,,2,76,0.2,low,0.6,0,25,0.5,0.230092198318883,0.760085992131562,0.00982180954955525,0.00154729,71.8,0.00148115762103297,68.731212112899,3.38039965979346,-1.34042461322929,2,1,62.3,65.5604992285555,65.5610272335112,44.6,0.697251191290166,9.17541404026699,150.30518091972,143.099775792999,164.962428393656,13.3417968843832,63.3805136167556,65.5610272335112,0.119310849147834,18.6393374081204,0.737119274184197,2.03997504656417,0.00148115762103297,0.000860733357288732,0.000573822238192488,0,0,0.88497285585843,0.000860733357288732,6.50521303491303e-19,78.3212515855214,677.006551391159,246.55456613331,345.424309265794,6.70642440653346,1,1,1,0,1,1,1,1,ok
custom_inlet_fixed_total_flow,ambient50RH_fixed_total_flow,initial_noegr_02,ok,,2,76,0.2,low,0.65,0,25,0.5,0.230092198318883,0.760085992131562,0.00982180954955525,0.00154729,71.8,0.00148115762103297,68.731212112899,3.38039965979346,-1.63054745823221,2,1,62.3,65.6191446235793,65.6201296999716,44.6,0.662666821060915,6.62877397530487,150.257180887361,143.071669915866,164.964953879602,13.3446627123084,63.4100648499858,65.6201296999716,0.101837522130527,15.9095668948415,0.786090784605837,1.74985220156125,0.00148115762103297,0.000928009248891846,0.00049969728786484,0,0,0.88495817080466,0.000928009248891846,3.46944695195361e-18,79.6811424669187,719.061145589927,286.924084193406,345.690264925302,6.76565400430086,1,1,1,0,1,1,1,1,ok
