case_index,case_id,is_no_egr,current_A,current_density_A_cm2,pCa_in_abs_kPa,pCa_out_abs_kPa,pCa_target_abs_kPa,pCa_model_abs_kPa,pCa_err_kPa,pAn_in_abs_kPa,pAn_out_abs_kPa,pAn_target_abs_kPa,pAn_model_abs_kPa,pAn_err_kPa,cathode_dp_kPa,anode_dp_kPa,mCaOut_kg_s,mAnOut_kg_s,Kca_current_kg_s_kPa,Kan_current_kg_s_kPa,Kca_required_kg_s_kPa,Kan_required_kg_s_kPa,Vca_m3,Van_m3,lambdaO2,stack_T_C,max_gas_residual_kg_s,valid_for_k_fit
17,cegr0608_004,0,38,0.1,140.835,133.845,137.34,137.567811974465,0.227811974465055,149.125,144.725,146.925,146.940183772297,0.0151837722972061,6.99000000000001,4.40000000000001,0.00121325955088192,4.8629781574813e-05,0.000317005332950444,2.195302844285e-05,0.000347141502398259,2.21044461703694e-05,0.0002,0.00015,4.98910888974475,53.0410259150707,5.42101086242752e-19,1
18,cegr0608_005,0,38,0.1,140.925,133.755,137.34,137.655092368775,0.315092368774771,149.125,144.725,146.925,146.951797801879,0.0267978018794111,7.17000000000002,4.40000000000001,0.00127445706809688,4.88847576694847e-05,0.000317005332950444,2.195302844285e-05,0.000355497090124652,2.22203443952202e-05,0.0002,0.00015,5.02396714748609,53.243042055256,1.01643953670516e-19,1
19,cegr0608_006,0,38,0.1,140.835,133.595,137.215,137.260118108153,0.0451181081529057,149.125,144.725,146.925,146.954274383928,0.0292743839276568,7.24000000000001,4.40000000000001,0.00122766053363951,4.89391239211558e-05,0.000317005332950444,2.195302844285e-05,0.000339132744099311,2.22450563277979e-05,0.0002,0.00015,4.56378873419836,53.2844080256601,2.03287907341032e-19,1
20,cegr0608_007,0,38,0.1,140.765,133.435,137.1,137.168653859032,0.0686538590320254,149.125,144.725,146.925,146.962711172235,0.0377111722349355,7.32999999999998,4.40000000000001,0.00125800308254118,4.91243452145362e-05,0.000317005332950444,2.195302844285e-05,0.000343247771498275,2.2329247824789e-05,0.0002,0.00015,4.36400598483462,53.4293259770143,9.75781955236954e-19,1
21,cegr0608_008,1,38,0.1,142.045,135.925,138.985,138.858165457348,-0.126834542651778,149.125,144.725,146.925,146.928014019304,0.00301401930394718,6.12,4.40000000000001,0.000972344863755108,4.83625989087175e-05,0.000317005332950444,2.195302844285e-05,0.000317759759397094,2.19829995039623e-05,0.0002,0.00015,4.41298123051766,52.8331253046884,8.13151629364128e-19,1
22,cegr0608_009,0,38,0.1,142.685,136.005,139.345,139.241842882421,-0.103157117578888,149.125,144.725,146.925,146.929642289884,0.00464228988420246,6.68000000000001,4.40000000000001,0.00105847935600533,4.83983009023109e-05,0.000317005332950444,2.195302844285e-05,0.000316909986827942,2.19992276828684e-05,0.0002,0.00015,4.74145578452925,52.8601670910912,1.89735380184963e-19,1
23,cegr0608_010,0,38,0.1,142.285,134.405,138.345,138.545217952203,0.200217952202905,149.125,144.725,146.925,146.958146435733,0.0331464357331868,7.88,4.40000000000001,0.00131246791757761,4.90240882780087e-05,0.000317005332950444,2.195302844285e-05,0.000333113684664368,2.22836764900038e-05,0.0002,0.00015,5.68722741187535,53.3687147477845,1.21972744404619e-19,1
24,cegr0608_011,0,38,0.1,142.525,134.165,138.345,138.467892916171,0.122892916171139,149.125,144.725,146.925,146.965026717385,0.0400267173845918,8.35999999999999,4.40000000000001,0.00136403685790506,4.91751391793528e-05,0.000317005332950444,2.195302844285e-05,0.000326324607154319,2.23523359906147e-05,0.0002,0.00015,5.87529827658061,53.4838731016448,2.3039296165317e-19,1
25,cegr0608_012,0,38,0.1,142.615,134.075,138.345,138.458504713679,0.113504713678793,149.125,144.725,146.925,146.978936767512,0.0539367675118285,8.54000000000002,4.40000000000001,0.00138959144812105,4.94805230780258e-05,0.000317005332950444,2.195302844285e-05,0.000325431252487365,2.24911468536479e-05,0.0002,0.00015,5.96579869682635,53.7238998277723,1.02999206386123e-18,1
26,cegr0608_013,1,38,0.1,141.885,137.535,139.71,139.447631929632,-0.262368070367927,149.125,144.725,146.925,146.899362758808,-0.0256372411920438,4.34999999999999,4.40000000000001,0.000706548531763951,4.77335337635472e-05,0.000317005332950444,2.195302844285e-05,0.000324849899661589,2.16970608016122e-05,0.0002,0.00015,3.27375340139622,52.3143473282567,4.33680868994202e-19,1
27,cegr0608_014,0,38,0.1,142.365,137.775,140.07,139.667390536117,-0.402609463883408,149.125,144.725,146.925,146.875835492615,-0.0491645073845177,4.59,4.40000000000001,0.000711178501518137,4.7217008026782e-05,0.000317005332950444,2.195302844285e-05,0.000309881700007905,2.14622763758098e-05,0.0002,0.00015,3.16364360169906,51.8732830981403,3.79470760369927e-19,1
28,cegr0608_015,0,20,0.05,133.545,130.275,131.91,131.860416458073,-0.0495835419272339,149.125,144.725,146.925,145.78964618095,-1.1353538190497,3.27000000000001,4.40000000000001,0.000592078697951914,2.33722298516592e-05,0.000317005332950444,2.195302844285e-05,0.000362127644007283,1.06237408416632e-05,0.0002,0.00015,4.54559716805206,48.6764321688074,3.18484388167617e-19,1
29,cegr0608_016,1,20,0.05,134.915,130.575,132.745,131.983316180358,-0.761683819641519,149.125,144.725,146.925,145.810623724045,-1.11437627595458,4.34000000000003,4.40000000000001,0.000546359320245671,2.38328097460358e-05,0.000317005332950444,2.195302844285e-05,0.000251778488592473,1.08330953391071e-05,0.0002,0.00015,4.72685031486584,49.5097177851077,9.75781955236954e-19,1
