case_id,source_dataset,module,variable,unit,current_A,egr_fraction,initial_value,final_value,delta_value,last_window_mean,last_window_min,last_window_max,last_window_std,last_window_range,last_window_abs_slope_per_s,sign_changes_total,sign_changes_last_window,converged_by_range,message
initial_noegr_01,initial_noegr_steady_xlsx,bench_out,mH2Ov_kg_s,kg/s,38,0,9.41460724384792e-05,3.73983723669325e-05,-5.67477000715467e-05,6.76296552829975e-05,3.73983723669325e-05,9.80961221971263e-05,3.02408639341196e-05,6.06977498301937e-05,2.29307986410207e-08,0,0,0,
initial_noegr_01,initial_noegr_steady_xlsx,bench_out,mLiquid_kg_s,kg/s,38,0,0,0,0,0,0,0,0,0,0,0,0,1,
initial_noegr_01,initial_noegr_steady_xlsx,bench_out,T_C,degC,38,0,62.7340958247943,64.2639830709746,1.52988724618032,64.2048723109706,64.1379244741915,64.2639830709746,0.0366214429499712,0.126058596783125,0.00630292983915623,0,0,0,
initial_noegr_01,initial_noegr_steady_xlsx,bench_out,p_kPa_abs,kPa,38,0,133.825,133.825,0,133.825,133.825,133.825,1.13970700429965e-13,0,0,0,0,1,
initial_noegr_01,initial_noegr_steady_xlsx,bench_out,liquid_flag,1,38,0,0,0,0,0,0,0,0,0,0,0,0,1,
initial_noegr_01,initial_noegr_steady_xlsx,stack_state,mO2_state_kg,kg,38,0,4.2650130918393e-05,3.67655481388604e-05,-5.88458277953266e-06,3.89331391941544e-05,3.67655481388604e-05,4.11037791525966e-05,2.08766948408327e-06,4.33823101373623e-06,1.02249665144112e-08,0,0,0,
initial_noegr_01,initial_noegr_steady_xlsx,stack_state,mN2_state_kg,kg,38,0,0.000206541820587587,0.000197656592084517,-8.88522850307023e-06,0.000201197033330515,0.000197656592084517,0.000204745529301341,3.45844690392522e-06,7.08893721682483e-06,1.15345625362784e-08,0,0,0,
initial_noegr_01,initial_noegr_steady_xlsx,stack_state,mH2Ov_ca_state_kg,kg,38,0,2.56466286155331e-05,2.73962349831451e-05,1.74960636761197e-06,2.73268621836847e-05,2.7248409099181e-05,2.73962349831451e-05,4.29474340715116e-08,1.47825883964082e-07,7.39129419820412e-09,0,0,0,
initial_noegr_01,initial_noegr_steady_xlsx,stack_state,mH2_state_kg,kg,38,0,1.4795602619295e-05,1.46409620204355e-05,-1.54640598859517e-07,1.4647324131814e-05,1.46409620204355e-05,1.46545259334039e-05,3.94057378410277e-09,1.35639129684396e-08,6.78195648421979e-10,0,0,1,
initial_noegr_01,initial_noegr_steady_xlsx,stack_state,mH2Ov_an_state_kg,kg,38,0,1.70972482414804e-05,1.80904276261394e-05,9.93179384659005e-07,1.80470359933186e-05,1.79979573254861e-05,1.80904276261394e-05,2.68652815448529e-08,9.24703006533019e-08,4.6235150326651e-09,0,0,0,
initial_noegr_01,initial_noegr_steady_xlsx,stack_state,T_state_C,degC,38,0,59.7340958247943,61.2639830709746,1.52988724618032,61.2048723109706,61.1379244741915,61.2639830709746,0.036621442949971,0.126058596783118,0.00630292983915588,0,0,0,
initial_noegr_01,initial_noegr_steady_xlsx,stack_state,a_memb_state,1,38,0,0.894093607241895,0.940279160670696,0.0461855534288012,0.940348478734583,0.940279160670696,0.940424417543968,4.2340145107671e-05,0.00014525687327227,7.26284366361352e-06,0,0,1,
initial_noegr_01,initial_noegr_steady_xlsx,stack_summary,I_A,A,38,0,38,38,0,38,38,38,0,0,0,0,0,1,
initial_noegr_01,initial_noegr_steady_xlsx,stack_summary,V_cell,V,38,0,0.794609856142643,0.792021934747599,-0.00258792139504338,0.792523397862994,0.792021934747599,0.793031685149268,0.000433344718656808,0.00100975040166917,7.83723740934716e-06,0,0,0,
initial_noegr_01,initial_noegr_steady_xlsx,stack_summary,Pstack_kPa_abs,kPa,38,0,483.122792534727,481.54933632654,-1.57345620818637,481.8542259007,481.54933632654,482.163264570755,0.263473588943339,0.61392824421489,0.00476504034488414,0,0,0,
initial_noegr_01,initial_noegr_steady_xlsx,stack_summary,pO2_stack_kPa,kPa,38,0,18.4456842563529,15.9737480150084,-2.47193624134458,16.9125219263277,15.9737480150084,17.8519136018165,0.906839837707397,1.87816558680814,0.004139759664859,0,0,0,
