case_id,source_dataset,check_name,unit,current_A,egr_fraction,initial_error,final_error,max_abs_error,mean_abs_error,last_window_max_abs_error,tolerance,pass,message
cegr0608_001,cegr_0608_txt,summary_xO2In_vs_stack_in,1,38,0,0,0,0,0,0,1e-09,1,
cegr0608_001,cegr_0608_txt,summary_RHIn_vs_stack_in,1,38,0,0,0,0,0,0,1e-07,1,
cegr0608_001,cegr_0608_txt,actual_mIn_excess_over_target,kg/s,38,0,0,0,0,0,0,1e-10,1,
cegr0608_002,cegr_0608_txt,mixer_to_stack_in_mO2,kg/s,38,0.0536594306,0,0,0,0,0,1e-10,1,
cegr0608_002,cegr_0608_txt,mixer_to_stack_in_mN2,kg/s,38,0.0536594306,0,0,0,0,0,1e-10,1,
cegr0608_002,cegr_0608_txt,mixer_to_stack_in_mH2Ov_delta,kg/s,38,0.0536594306,0,0,0,0,0,1e-10,1,
cegr0608_002,cegr_0608_txt,inlet_condensed_liquid_balance,kg/s,38,0.0536594306,0,0,0,0,0,1e-10,1,
cegr0608_002,cegr_0608_txt,stack_out_split_mO2,kg/s,38,0.0536594306,3.3881317890172e-21,1.6940658945086e-21,1.35525271560688e-20,3.82985947101032e-21,1.35525271560688e-20,1e-10,1,
cegr0608_002,cegr_0608_txt,stack_out_split_mN2,kg/s,38,0.0536594306,-1.35525271560688e-20,1.6940658945086e-21,5.42101086242752e-20,1.6390934562318e-20,5.42101086242752e-20,1e-10,1,
cegr0608_002,cegr_0608_txt,splitter_ratio_param_error,1,38,0.0536594306,0,0,0,0,0,1e-09,1,
cegr0608_002,cegr_0608_txt,summary_pO2In_vs_stack_in,kPa,38,0.0536594306,0,0,0,0,0,1e-06,1,
cegr0608_002,cegr_0608_txt,summary_xO2In_vs_stack_in,1,38,0.0536594306,0,0,0,0,0,1e-09,1,
cegr0608_002,cegr_0608_txt,summary_RHIn_vs_stack_in,1,38,0.0536594306,0,0,0,0,0,1e-07,1,
cegr0608_002,cegr_0608_txt,actual_mIn_excess_over_target,kg/s,38,0.0536594306,0,0,0,0,0,1e-10,1,
cegr0608_003,cegr_0608_txt,mixer_to_stack_in_mO2,kg/s,38,0.2858217391,0,0,0,0,0,1e-10,1,
cegr0608_003,cegr_0608_txt,mixer_to_stack_in_mN2,kg/s,38,0.2858217391,0,0,0,0,0,1e-10,1,
cegr0608_003,cegr_0608_txt,mixer_to_stack_in_mH2Ov_delta,kg/s,38,0.2858217391,0,0,0,0,0,1e-10,1,
cegr0608_003,cegr_0608_txt,inlet_condensed_liquid_balance,kg/s,38,0.2858217391,0,0,0,0,0,1e-10,1,
cegr0608_003,cegr_0608_txt,stack_out_split_mO2,kg/s,38,0.2858217391,-6.7762635780344e-21,-2.5410988417629e-21,1.35525271560688e-20,5.15673658288418e-21,1.35525271560688e-20,1e-10,1,
cegr0608_003,cegr_0608_txt,stack_out_split_mN2,kg/s,38,0.2858217391,-5.42101086242752e-20,-1.35525271560688e-20,1.0842021724855e-19,2.65222956444267e-20,1.0842021724855e-19,1e-10,1,
cegr0608_003,cegr_0608_txt,splitter_ratio_param_error,1,38,0.2858217391,0,0,0,0,0,1e-09,1,
cegr0608_003,cegr_0608_txt,summary_pO2In_vs_stack_in,kPa,38,0.2858217391,0,0,0,0,0,1e-06,1,
cegr0608_003,cegr_0608_txt,summary_xO2In_vs_stack_in,1,38,0.2858217391,0,0,0,0,0,1e-09,1,
cegr0608_003,cegr_0608_txt,summary_RHIn_vs_stack_in,1,38,0.2858217391,0,0,0,0,0,1e-07,1,
cegr0608_003,cegr_0608_txt,actual_mIn_excess_over_target,kg/s,38,0.2858217391,0,0,0,0,0,1e-10,1,
cegr0608_004,cegr_0608_txt,mixer_to_stack_in_mO2,kg/s,38,0.3707279438,0,0,0,0,0,1e-10,1,
