case_id,source_dataset,status,message,current_A,current_density_A_cm2,egr_fraction,V_exp,V_sim,err_V,stack_in_flow_SLPM,fresh_supply_flow_SLPM,stack_in_p_kPa_g,stack_out_p_kPa_g,cathode_dp_kPa,stack_in_T_C,stack_in_RH,pO2_stack_kPa,pCa_stack_kPa_abs,pCa_out_boundary_kPa_abs,pH2_stack_kPa,pAn_stack_kPa_abs,T_stack_C,xO2_stack,RH_stack,pO2_in_kPa,xO2_in,RH_in,lambda_m,lambda_ca,lambda_an,mMem_kg_s,N_drag_mol_s,N_diff_mol_s,J_drag_mol_m2_s,J_diff_mol_m2_s,J_net_mol_m2_s,mDrag_kg_s,mDiff_kg_s,mMem_raw_kg_s,mMem_limit_delta_kg_s,aCa_raw,aAn_raw,aCa_limited,aAn_limited,a_memb,a_memb_target_raw,a_memb_target,J_diff_ca_to_mem_mol_m2_s,J_diff_mem_to_an_mol_m2_s,dm_lambda_equiv_kg,k_mem_eff,tau_memb_s,membrane_dynamic_mode,mCaOut_kg_s,mIn_kg_s,lambdaO2,phaseCa_kg_s,phaseAn_kg_s,condensedCa_kg,condensedAn_kg,psatCa_next_kPa,psatAn_next_kPa,mV_ca_preclip_kg,mV_an_preclip_kg,resO2_kg_s,resN2_kg_s,resH2Oca_kg_s,resH2_kg_s,resH2Oan_kg_s,maxGasRes_kg_s,Qnet_W,Qgen_W,Qcool_W,Qamb_W,Qgas_W,E_Nernst_V,etaAct_V,etaOhm_V,etaCon_V
initial_noegr_11,initial_noegr_steady_xlsx,ok,,646,1.7,0,0.60195,0.598458052462352,-0.00349194753764825,308.8,308.8,150.1,104.4,45.7,75.1,0.4,4.75441504421428,212.553817655461,205.725,244.903266960464,281.115332963296,80.2431622934598,0.0223680529319918,1,49.4257515280079,0.196582485942161,0.4,9.3288899735201,14.003,6.29293030149551,9.52880053349529e-06,0.0770043269540664,0.0664257508414606,0.126651853542872,0.109252879673455,0.000869948693470875,0.00138725451128905,0.00119667850061915,0.000190576010669906,0,1,0.756329393346347,1,0.756329393346347,0.878075126277786,0.878164696673173,0.878164696673173,0.0662328617343822,0.0430200179390728,2.8015659984672e-08,0.05,10,1,0.00370743255499748,0.00332942277156561,0.86723742407183,0.00029511843601693,0,2.9511843601693e-05,0,47.8787658398253,47.8787658398253,8.82231348552998e-05,3.33037587231205e-05,5.42101086242752e-20,-4.33680868994202e-19,-5.42101086242752e-20,-3.3881317890172e-20,5.9292306307801e-20,4.33680868994202e-19,206.969000349979,6775.68156974913,6050.83195820468,497.184321261131,20.6962899333462,1.18010750139237,0.327097016803069,0.128068662858682,0.126483769268266
initial_noegr_12,initial_noegr_steady_xlsx,ok,,684,1.8,0,0.59018125,0.59469728745348,0.00451603745347984,326.2,326.2,149.9,99.9,50,75.3,0.4,14.7768104822378,238.746956628773,201.225,246.309062255031,281.700549309727,79.9653244955435,0.0618931888845571,1,49.356603895015,0.196463743238193,0.4,9.19407558248455,14.003,6.12640550790698,1.12156725107827e-05,0.0799480073727018,0.0674967187879197,0.131493433178786,0.11101434011171,0.0010239546533538,0.00144028573826129,0.00121597228804563,0.000224313450215654,0,1,0.747539629799466,1,0.747539629799466,0.873706207146191,0.873769814899733,0.873769814899733,0.0677779681807266,0.0432363719309833,1.95890784850455e-08,0.05,10,1,0.00642092270441646,0.00702961,1.72865744111322,0.00019618094415995,0,1.9618094415995e-05,0,47.3437723417651,47.3437723417651,7.77190293698958e-05,3.25746933373229e-05,-2.16840434497101e-19,-4.33680868994202e-19,2.71050543121376e-20,-1.35525271560688e-20,4.57397791517322e-20,4.33680868994202e-19,92.1971548570637,7215.40888610912,6596.43399343043,494.686076516794,32.0916613048291,1.19101456347157,0.334204327616393,0.135629179133429,0.126483769268266
initial_noegr_13,initial_noegr_steady_xlsx,ok,,722,1.9,0,0.57885625,0.586051760063181,0.00719551006318064,344.4,344.4,150,94.7,55.3,75.6,0.4,15.1163591072597,237.471591187244,196.025,246.720737932077,282.196127496312,80.23467470339,0.0636554420328141,1,49.3363220535735,0.196304872390624,0.4,9.09761123868179,14.003,6.01010958273203,1.2924148839038e-05,0.083199436139,0.0688514506077865,0.136841177860197,0.113242517447017,0.00117993302065901,0.0014988611378862,0.00124037816110544,0.000258482976780761,0,1,0.741193384181844,1,0.741193384181844,0.870537876320152,0.870596692090922,0.870596692090922,0.0694990852355326,0.0437434322114846,1.79096116492426e-08,0.05,10,1,0.00684017436650924,0.00742182,1.72815361476621,0.00019074747921568,0,1.9074747921568e-05,0,47.8623477963243,47.8623477963243,7.77673162086274e-05,3.26270307513333e-05,2.71050543121376e-20,1.0842021724855e-19,-1.62630325872826e-19,-1.35525271560688e-20,3.55753837846806e-20,1.62630325872826e-19,79.5269151660631,7716.13806775014,7105.54392500502,497.110481792206,33.9567457868523,1.19146722325391,0.335744138785882,0.143187555136584,0.126483769268266
cegr0608_001,cegr_0608_txt,ok,,38,0.1,0,0.798,0.794099869692057,-0.00390013030794334,57.2,49.9,39.68,32.99,6.69,50.12,0.556,15.1496651627865,134.346923044881,134.315,136.525838170194,152.356979674642,59.0105759721661,0.112765255946542,1,28.0934740544391,0.199237431682842,0.556,10.5296310223196,11.4682827551595,9.26427880182819,-6.23483534540327e-06,0.00534373747412779,0.0122654565319534,0.0087890418982365,0.0201734482433445,-0.000569220317255399,9.6268926842905e-05,0.00022096563375097,-0.000124696706908065,0,0.939851709754332,0.875989726399959,0.939851709754332,0.875989726399959,0.914311079406919,0.907920718077146,0.907920718077146,0.00859156451255498,0.0115818837307895,-2.26424148769977e-06,0.05,10,1,0.000171739472120917,0,0,1.82654250757456e-05,0,1.82654250757456e-06,0,19.0492368600691,19.0492368600691,2.6678827434149e-05,1.54903858723412e-05,0,1.0842021724855e-19,0,-3.3881317890172e-21,-1.35525271560688e-20,1.0842021724855e-19,883.864386589985,279.61927922723,-912.400510885103,306.077506461763,2.0778970605847,1.19342377846222,0.265324378533305,0.00751576096859057,0.126483769268266
cegr0608_002,cegr_0608_txt,ok,,38,0.1,0.0536594306,0.794,0.793292464780879,-0.000707535219121369,56.2,44.7,39.76,32.84,6.92,51.72,0.512,14.8381834899761,134.346103342592,134.165,136.243780422496,152.438177934121,59.7107079957691,0.110447442246521,1,27.6688981688862,0.19611509493487,0.539574682153565,10.3294414007595,11.1175755801411,9.14999768788948,-5.32732758079527e-06,0.00520435378194571,0.0111185861233751,0.00855979240451598,0.0182871482292353,-0.000486367791235966,9.3757890600811e-05,0.000200304442216716,-0.000106546551615905,0,0.93055716355205,0.872262931179814,0.93055716355205,0.872262931179814,0.908572821229808,0.901410047365932,0.901410047365932,0.00732511105132631,0.010962037177909,-2.48951409501048e-06,0.05,10,1,0.000169863808031508,0,0,1.60802612132802e-05,0,1.60802612132802e-06,0,19.6795610378267,19.6795610378267,2.72286500387e-05,1.58124932544075e-05,0,8.13151629364128e-20,-6.7762635780344e-21,-1.01643953670516e-20,-3.04931861011548e-20,8.13151629364128e-20,794.397231229798,280.110181413226,-828.523929059958,312.380484017297,1.85639522608908,1.19263751829786,0.265343568989224,0.00751771525948675,0.126483769268266
cegr0608_003,cegr_0608_txt,ok,,38,0.1,0.2858217391,0.787,0.79379290385436,0.00679290385436004,59.8,33.6,40.08,32.59,7.49,52.78,0.5004,15.0599196306701,134.137344422253,133.915,136.417081813232,152.386234284377,59.2905931210334,0.112272385408665,1,25.8514995929184,0.18281885076849,0.625348428647122,10.4224462314726,11.3080307714846,9.21900877956877,-5.79031350429024e-06,0.00526892699945626,0.0116971518222625,0.00866599835436884,0.0192387365497738,-0.00052863690977025,9.49211951947643e-05,0.000210727465280569,-0.000115806270085805,0,0.93563936803579,0.874519340298184,0.93563936803579,0.874519340298184,0.91125248433384,0.905079354166987,0.905079354166987,0.00815574356027649,0.0110829929894974,-2.16495574119174e-06,0.05,10,1,0.000179122696963797,0,0,1.65670309169766e-05,0,1.65670309169766e-06,0,19.2992391397866,19.2992391397866,2.6813941539775e-05,1.56122648263669e-05,-1.35525271560688e-20,1.0842021724855e-19,6.7762635780344e-21,0,5.0821976835258e-21,1.0842021724855e-19,647.497127214352,279.805914456549,-677.867056590214,308.602388146756,1.57345568565449,1.19314758893349,0.26535414217087,0.00751677363999327,0.126483769268266
cegr0608_004,cegr_0608_txt,ok,,38,0.1,0.3707279438,0.782,0.793714460772543,0.0117144607725428,56.9,27.2,39.51,32.52,6.99,52.91,0.5565,14.4181874311877,133.603721688741,133.845,136.103511898153,152.592044948085,59.216015591948,0.107917558350492,1,24.7228919476767,0.175545084302032,0.715856520144336,11.0728394200992,12.7136887349844,9.40950813798983,-1.14773408948095e-05,0.00572933036832521,0.0184711150031568,0.00942324073737699,0.0303801233604553,-0.00104784413115392,0.000103215490797882,0.000332762308694071,-0.000229546817896189,0,0.970797385581813,0.880655794223122,0.970797385581813,0.880655794223122,0.929351098357923,0.925726589902467,0.925726589902467,0.0150867070182165,0.0152934163422388,-1.3496578473116e-06,0.05,10,1,0.000164199685447748,0,0,2.09939202824874e-05,0,2.09939202824874e-06,0,19.2323840808259,19.2323840808259,2.71751078712011e-05,1.61236550688263e-05,2.71050543121376e-20,-5.42101086242752e-20,1.35525271560688e-20,6.7762635780344e-21,2.03287907341032e-20,5.42101086242752e-20,627.063604372246,279.853607850294,-656.57590996094,307.931599055444,1.43431438354398,1.19285330599799,0.265143753663799,0.00751132229338477,0.126483769268266
cegr0608_005,cegr_0608_txt,ok,,38,0.1,0.4680959866,0.777,0.793744127167931,0.0167441271679306,59.8,22.7,39.6,32.43,7.17,53.12,0.616,14.6648702351688,133.501867262089,133.755,135.917778040709,152.709888407685,59.2379188148857,0.109847678807211,1,23.9021997965762,0.169609365240916,0.793495953612189,11.3873812663616,13.4262969604903,9.47788824769234,-1.45253192107235e-05,0.00595753619145839,0.0220830909546633,0.0097985792622671,0.0363208732806963,-0.00132611470092146,0.000107326682599257,0.000397833066813727,-0.000290506384214471,0,0.987254402842746,0.882826470350311,0.987254402842746,0.882826470350311,0.937732316524696,0.935040436596529,0.935040436596529,0.0187557074110478,0.0175651658696485,-1.03003247912794e-06,0.05,10,1,0.000168270118278389,0,0,2.15890986844237e-05,0,2.15890986844237e-06,0,19.2519987440086,19.2519987440086,2.72585457644839e-05,1.6419432408352e-05,1.35525271560688e-20,-1.0842021724855e-19,-6.7762635780344e-21,1.35525271560688e-20,8.470329472543e-21,1.0842021724855e-19,608.51410418129,279.835570681898,-638.230354735758,308.129099051888,1.42272218447913,1.19295929376513,0.265222481874802,0.00750891545413437,0.126483769268266
cegr0608_006,cegr_0608_txt,ok,,38,0.1,0.5478621762,0.768,0.793526848042632,0.0255268480426319,57.9,17.4,39.51,32.27,7.24,53.16,0.68,14.182778613617,133.123740217791,133.595,135.725210915734,152.823268736123,59.3309155931263,0.106538312328169,1,22.945538577054,0.162924973032655,0.862164012552332,11.5620951082036,14.003,9.52420964123542,-1.71276529099768e-05,0.00608585633814303,0.0251004405244303,0.0100096321351037,0.0412836192836024,-0.00156369935742494,0.000109638405971421,0.000452191464170958,-0.000342553058199536,0,1,0.884287565128528,1,0.884287565128528,0.942291363598855,0.942143782564264,0.942143782564264,0.0224992420248491,0.0187843772587533,-5.73034051562324e-08,0.05,10,1,0.000156722716570136,0,0,2.31719055849057e-05,0,2.31719055849057e-06,0,19.3354686037423,19.3354686037423,2.75185986539568e-05,1.67139134924347e-05,-1.35525271560688e-20,-1.49077798716757e-19,3.04931861011548e-20,-6.7762635780344e-21,1.35525271560688e-20,1.49077798716757e-19,613.731310260426,279.96767639008,-644.094740536141,308.965965711932,1.36514095386341,1.19260187648854,0.265083606825851,0.00750765235179328,0.126483769268266
cegr0608_007,cegr_0608_txt,ok,,38,0.1,0.6205626263,0.75,0.793528002164016,0.0435280021640161,59.4,13.5,39.44,32.11,7.33,53.31,0.732,14.2617996005518,132.97605052537,133.435,135.716520754964,152.826513581339,59.346616465412,0.107250888744292,1,22.3040550840779,0.158448869279138,0.911716186445147,11.5614249920332,14.003,9.52329888046905,-1.71404715267609e-05,0.00608536203399661,0.0251141770474307,0.0100088191348629,0.0413062122490636,-0.00156486965571004,0.000109629500943819,0.000452438931479037,-0.000342809430535218,0,1,0.884258909400459,1,0.884258909400459,0.942274004384542,0.94212945470023,0.942129454700229,0.0225131571973363,0.0187930550517272,-5.61232511703769e-08,0.05,10,1,0.000157309349660943,0,0,2.30739188741395e-05,0,2.30739188741395e-06,0,19.349591389045,19.349591389045,2.75260163899724e-05,1.67247905519383e-05,1.35525271560688e-20,-9.48676900924816e-20,1.6940658945086e-20,-1.01643953670516e-20,0,9.48676900924816e-20,600.46431369068,279.966974684278,-630.944164173885,309.107538902434,1.33928626504962,1.19262926811668,0.265109835741343,0.00750766094305077,0.126483769268266
