case_id,condition,stop_time_s,is_steady,egr_ratio_cmd,current_A,current_density_A_cm2,V_cell_meas,V_cell_sim,V_cell_err,V_stack_sim,pO2_ref_no_egr_kPa,pO2_ca_in_kPa,pH2O_caIn_kPa,RH_ca_in,T_ca_in_C,T_stack_sim_C,lambda_O2_actual,pressure_order_ok,p_ca_in_sim_kPa,p_stack_internal_kPa,p_ca_out_boundary_kPa,Q_gen_W,Q_cool_W,hum_transfer_kg_s,RH_hum_wet_out,pH2O_hum_wet_out_kPa,oxygen_stoich_cmd,dV_cell_30s,dT_stack_30s_C,dRH_ca_in_30s,model_name,pO2_error_kPa,pO2_target_kPa,severe_oxygen_starvation
bench_j0p30,same_current_egr_constant_pO2_qualitative,120,1,0.3,114,0.3,0.75044375,0.759607576392173,0.0091638263921735,12.1537212222748,31.3970118733706,31.330587767152,19.6459425765497,0.712068531005472,67.1811614353369,65.0425522496792,3.80316017490094,1,182.517152201155,160.530750140279,147.425,901.771780660676,537.165835225463,0.000152497661135249,0.356483660370068,8.21462600823986,4.16240597191272,4.46530396636113e-06,0.00377543315134687,9.83086635897301e-05,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,-0.0664241062185624,31.3970118733706,0
bench_j0p30,same_current_egr_constant_pO2_qualitative,120,1,0.4,114,0.3,0.75044375,0.760677928553286,0.0102341785532859,12.1708468568526,31.3970118733706,31.6025329417459,19.2478047074655,0.697692185462256,67.1794043410207,65.0404846230869,4.79477388354689,1,186.67505878964,167.122579778486,147.425,899.819458318807,535.43768128623,0.000179595714276366,0.323191079035002,7.44734406890465,5.35166482103064,4.220843705105e-06,0.0035916761552528,9.03263857124914e-05,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,0.205521068375266,31.3970118733706,0
bench_j0p40,same_current_egr_constant_pO2_qualitative,120,1,0.1,152,0.4,0.73384375,0.744767559124282,0.0109238091242825,11.9162809459885,33.2296742412135,33.2890114167989,21.050862151027,0.709395611240348,68.8377373217943,66.7271314563982,2.77206263588052,1,184.983000950398,165.428114033247,157.525,1238.45329620975,691.162824729458,0.000160807185619674,0.41785860220723,10.3167312152597,2.8656919163612,0.000182874682807643,0.153503691587176,0.00403707739838632,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,0.0593371755853553,33.2296742412135,0
bench_j0p40,same_current_egr_constant_pO2_qualitative,120,1,0.2,152,0.4,0.73384375,0.744815062972711,0.0109713129727114,11.9170410075634,33.2296742412135,33.1656721117765,21.0323279525858,0.708774254736896,68.8376331116704,66.7270088297363,2.89301381095492,1,190.155299259553,167.405567127852,157.525,1238.33776685037,691.060331007545,0.000157744458312938,0.440097279833784,10.8657846661874,3.10449957605796,0.000182724662299849,0.153493148201122,0.00399312722269685,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,-0.0640021294369646,33.2296742412135,0
bench_j0p40,same_current_egr_constant_pO2_qualitative,120,1,0.3,152,0.4,0.73384375,0.745655883617628,0.0118121336176285,11.9304941378821,33.2296742412135,33.3047798288916,20.7641053532526,0.699791509509003,68.8357976663992,66.7248489929645,3.45746476209864,1,195.314055682814,172.954162965464,157.525,1236.29289104193,689.255116599693,0.000173514353432952,0.422431947497027,10.4294845239427,3.82092255514826,0.000181474319651764,0.153297215375233,0.00388975502008715,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,0.0751055876781166,33.2296742412135,0
bench_j0p40,same_current_egr_constant_pO2_qualitative,120,1,0.4,152,0.4,0.73384375,0.745898425952732,0.0120546759527325,11.9343748152437,33.2296742412135,33.0030648425126,20.7411707824505,0.699034778979277,68.8352673551681,66.7242249581292,3.73239543321591,1,200.51674469567,176.535172387546,157.525,1235.70302808295,688.733539906522,0.000172652069266201,0.435745603179247,10.758142086143,4.2985378745418,0.000181172669190266,0.153241409616484,0.00382305211946155,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,-0.22660939870093,33.2296742412135,0
bench_j0p60,same_current_egr_constant_pO2_qualitative,300,1,0.1,228,0.6,0.7102375,0.716699370348581,0.00646187034858114,11.4671899255773,36.3926147551606,36.4367627107166,25.6889787555988,0.689428290431328,74.134454936304,72.1111722842041,2.28638156298139,1,206.292859555429,182.012050746477,174.825,1960.07269696838,1514.09920794138,0.000211126649569746,0.501509532185093,15.3694894002196,2.38115463581703,2.3409373445693e-05,0.019628646476562,0.000483148226406827,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,0.0441479555559567,36.3926147551606,0
bench_j0p60,same_current_egr_constant_pO2_qualitative,300,1,0.2,228,0.6,0.7102375,0.717308154287914,0.0070706542879142,11.4769304686066,36.3926147551606,36.4720020224157,25.5298179268259,0.685221186706987,74.1322312878681,72.1085562043858,2.5637597878356,1,213.040140655365,186.917848134426,174.825,1957.85185315769,1511.91218430321,0.000216974391520751,0.501053728131312,15.3552584069756,2.77801374178654,2.33010270076495e-05,0.0196195965645245,0.00047511092107122,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,0.0793872672551004,36.3926147551606,0
bench_j0p60,same_current_egr_constant_pO2_qualitative,300,1,0.3,228,0.6,0.7102375,0.717720297902234,0.00748279790223372,11.4835247664357,36.3926147551606,36.3327103833874,25.4908484791395,0.68421876947345,74.1307257599031,72.1067849798419,2.80639383459947,1,219.852512041286,191.612460038576,174.825,1956.34835325265,1510.43145326941,0.000215840450854556,0.508746450897528,15.5908288078527,3.17487284775605,2.32335428771435e-05,0.0196135770757166,0.000468300074967898,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,-0.0599043717732428,36.3926147551606,0
bench_j0p60,same_current_egr_constant_pO2_qualitative,300,1,0.4,228,0.6,0.7102375,0.718811208772147,0.00857370877214692,11.5009793403544,36.3926147551606,36.5269047947529,25.2298537998852,0.677327266059114,74.1267404714862,72.1020963656842,3.3948227911429,1,226.648520110071,200.620331638099,174.825,1952.36871039921,1506.51180489701,0.000233532187173509,0.484597559804247,14.8503175926825,3.96859105969506,2.30739316238182e-05,0.0195978655344788,0.000456789225229959,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,0.134290039592258,36.3926147551606,0
