case_id,condition,stop_time_s,is_steady,egr_ratio_cmd,current_A,current_density_A_cm2,V_cell_meas,V_cell_sim,V_cell_err,V_stack_sim,pO2_ref_no_egr_kPa,pO2_ca_in_kPa,pH2O_caIn_kPa,RH_ca_in,T_ca_in_C,T_stack_sim_C,lambda_O2_actual,pressure_order_ok,p_ca_in_sim_kPa,p_stack_internal_kPa,p_ca_out_boundary_kPa,Q_gen_W,Q_cool_W,hum_transfer_kg_s,RH_hum_wet_out,pH2O_hum_wet_out_kPa,oxygen_stoich_cmd,dV_cell_30s,dT_stack_30s_C,dRH_ca_in_30s,model_name,severe_oxygen_starvation
bench_j0p30,same_current_egr_ratio_qualitative,120,1,0,114,0.3,0.75044375,0.758850846422083,0.00840709642208304,12.1416135427533,31.0216598696648,31.3970118733706,19.9905603756373,0.724519600581406,67.1823986831741,65.0440081693824,2.9731471227948,1,169.856965499125,153.465150882275,147.425,903.152056126121,538.382704862977,0.000139137189224618,0.332004296969139,7.65061198437577,2.9731471227948,4.65277718753043e-06,0.00390978802191455,0.000106643402820961,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,0
bench_j0p30,same_current_egr_ratio_qualitative,120,1,0.1,114,0.3,0.75044375,0.758522804817389,0.0080790548173888,12.1363648770782,31.0216598696648,31.3157106005187,20.0610862336695,0.727058388966526,67.1829365428784,65.0446410869542,2.88042060513288,1,174.09749632371,153.593367003609,147.425,903.750404013083,538.911705701614,0.000130229713428125,0.368874122450472,8.50026631415591,2.9731471227948,4.72972723941645e-06,0.00396668683733026,0.000107784539541522,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,0
bench_j0p30,same_current_egr_ratio_qualitative,120,1,0.2,114,0.3,0.75044375,0.758080913571503,0.00763716357150312,12.129294617144,31.0216598696648,30.9286896165636,20.160535599021,0.730639259874323,67.183660913022,65.0454934780131,2.76372009601352,1,178.348143850043,153.687356271181,147.425,904.556413645578,539.62414504282,0.000119943718714631,0.412964302664045,9.51632740552733,2.9731471227948,4.83469252288149e-06,0.00404347286138318,0.000109361162013322,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,0
bench_j0p30,same_current_egr_ratio_qualitative,120,1,0.3,114,0.3,0.75044375,0.757458077318964,0.0070143273189639,12.1193292371034,31.0216598696648,30.1005492230446,20.3003662688316,0.735673679175335,67.1846816057166,65.0466945626472,2.61296679499818,1,182.60706658191,153.739020568871,147.425,905.69246697021,540.628026328341,0.000107699336264299,0.467012785895648,10.7619057714343,2.9731471227948,4.98535101545183e-06,0.0041519586088441,0.000111638033232886,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,0
bench_j0p30,same_current_egr_ratio_qualitative,120,1,0.4,114,0.3,0.75044375,0.756518454583846,0.00607470458384562,12.1042952733415,31.0216598696648,28.6039593207559,20.4989546365509,0.743725081955035,67.1586712564638,65.0485058306818,2.41142987414528,1,186.871947234328,153.734989968069,147.425,907.406338839066,542.141905140151,9.25824695598289e-05,0.534613073261853,12.3352633470368,2.9731471227948,5.21914322326733e-06,0.00431615676204444,0.000115075598470238,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,0
bench_j0p40,same_current_egr_ratio_qualitative,120,1,0,152,0.4,0.73384375,0.74409503438854,0.0102512843885404,11.9055205502166,32.9422687893888,33.2296742412135,21.3022279383283,0.717820598041444,68.8391970637107,66.7288492096625,2.38807659696766,1,179.916424793763,161.457010357849,157.525,1240.08887636707,692.598523837807,0.000147992755663612,0.425776344622335,10.5123382179756,2.38807659696766,0.0001840770581365,0.153667634248862,0.00412104410078051,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,0
bench_j0p40,same_current_egr_ratio_qualitative,120,1,0.1,152,0.4,0.73384375,0.7436161481062,0.00977239810620034,11.8978583696992,32.9422687893888,33.0180670123796,21.4102577321202,0.721696318677582,68.8317352314182,66.7300785742964,2.29461824778722,1,185.047184805443,161.593191498695,157.525,1241.25352780572,693.626038452325,0.0001360277940362,0.472154828907702,11.6619677809196,2.38807659696766,0.000184693325977703,0.15377988892412,0.00414643069076803,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,0
bench_j0p40,same_current_egr_ratio_qualitative,120,1,0.2,152,0.4,0.73384375,0.742953743620474,0.0091099936204736,11.8872598979276,32.9422687893888,32.38794191367,21.5613108672024,0.727618732639785,68.8056140306915,66.7317784238315,2.1771281572179,1,190.190963439838,161.680733500196,157.525,1242.86449551501,695.046787695058,0.000122213355683003,0.526938765964756,13.0313801214395,2.38807659696766,0.000185597013223071,0.153935594000259,0.00411416521604746,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,0
bench_j0p40,same_current_egr_ratio_qualitative,120,1,0.3,152,0.4,0.73384375,0.741982269418517,0.00813851941851718,11.8717163106963,32.9422687893888,31.1527980349014,21.7723363205605,0.735796164778876,68.7727776917597,66.7342700932989,2.02552069408586,1,195.344618382584,161.7083298832,157.525,1245.22712077417,697.129344716386,0.000105773914813507,0.593567553914128,14.7024466708472,2.38807659696766,0.000187038916712789,0.154164837199176,0.00407398601514153,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,0
bench_j0p40,same_current_egr_ratio_qualitative,120,1,0.4,152,0.4,0.73384375,0.740415349261444,0.00657159926144391,11.8466455881831,32.9422687893888,28.9989656963013,22.0704512540694,0.747246839581356,68.7306545150113,66.7382857004439,1.82306055008454,1,200.504157419742,161.657338891812,157.525,1249.03787059617,700.485615093147,8.54949273628624e-05,0.676902341513306,16.8013944607263,2.38807659696766,0.000189690734618941,0.154536787484773,0.00402246697531083,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,0
